task_idx,phase,epoch_in_phase,global_epoch,kappa,train_loss,val_loss,lr,til_avg,til_per_task,cil_stand_avg,cil_stand_per_task,cil_znorm_avg,cil_znorm_per_task
0,parallel,1,1,0.5,2.567562199846099,2.2255455553531647,0.001,26.3,[26.3%],,,,
0,parallel,2,2,0.5,2.09641188760347,1.9309904351830482,0.001,34.1,[34.1%],,,,
0,parallel,3,3,0.5,1.8370089742201794,1.7238792032003403,0.001,40.2,[40.2%],,,,
0,parallel,4,4,0.5,1.6411039467099346,1.579756747931242,0.001,47.6,[47.6%],,,,
0,parallel,5,5,0.4905664156385195,1.5205333270604098,1.5317735597491264,0.001,48.4,[48.4%],,,,
0,parallel,6,6,0.475906289056241,1.4250702993779243,1.3815910406410694,0.001,52.1,[52.1%],,,,
0,parallel,7,7,0.4615461624739625,1.3111578799501251,1.260858029127121,0.001,58.3,[58.3%],,,,
0,parallel,8,8,0.447486035891684,1.2217355189444143,1.200519148260355,0.001,59.3,[59.3%],,,,
0,parallel,9,9,0.4337259093094055,1.1734025463273254,1.243088398128748,0.001,57.2,[57.2%],,,,
0,parallel,10,10,0.42026578272712706,1.1321939199785642,1.1267719715833664,0.001,60.7,[60.7%],,,,
0,parallel,11,11,0.4071056561448486,1.0650408441507364,1.0924907606095076,0.001,61.4,[61.4%],,,,
0,parallel,12,12,0.39424552956257014,1.0324750157851208,1.1016816310584545,0.001,62.6,[62.6%],,,,
0,parallel,13,13,0.38168540298029163,1.0010741971716095,1.0327041689306498,0.001,62.8,[62.8%],,,,
0,parallel,14,14,0.36942527639801315,0.9634703978707518,1.2512532230466604,0.001,57.2,[57.2%],,,,
0,parallel,15,15,0.35746514981573463,0.9219999532156353,0.930344719439745,0.001,69.1,[69.1%],,,,
0,parallel,16,16,0.34580502323345613,0.8616596113277387,0.9661926720291376,0.001,65.9,[65.9%],,,,
0,parallel,17,17,0.33444489665117766,0.8573745111875897,0.9206832051277161,0.001,70.6,[70.6%],,,,
0,parallel,18,18,0.32338477006889915,0.8656345560580869,0.9799832496792078,0.001,66.7,[66.7%],,,,
0,parallel,19,19,0.3126246434866208,0.8196117312093324,0.9522000066936016,0.001,67.2,[67.2%],,,,
0,parallel,20,20,0.30216451690434226,0.8149275485473343,0.8526758905500174,0.001,70.4,[70.4%],,,,
0,parallel,21,21,0.29200439032206377,0.8183582357213467,0.8867111690342426,0.001,69.8,[69.8%],,,,
0,parallel,22,22,0.2821442637397853,0.782830432246003,0.936160271987319,0.001,68.4,[68.4%],,,,
0,parallel,23,23,0.27258413715750685,0.777959099298791,0.7852356694638729,0.001,73.7,[73.7%],,,,
0,parallel,24,24,0.26332401057522836,0.7768461296829996,0.8865564577281475,0.001,69.1,[69.1%],,,,
0,parallel,25,25,0.25436388399294985,0.7410113607780843,0.8457546997815371,0.001,72.6,[72.6%],,,,
0,parallel,26,26,0.24570375741067135,0.8089912330047994,0.8651666659861803,0.001,71.7,[71.7%],,,,
0,parallel,27,27,0.23734363082839288,0.772170553101769,0.8154803272336721,0.001,72.6,[72.6%],,,,
0,parallel,28,28,0.22928350424611438,0.7746531254128565,0.8797957897186279,0.0003333333333333333,70.5,[70.5%],,,,
0,parallel,29,29,0.2215233776638359,0.6363811149627348,0.8020869605243206,0.0003333333333333333,73.8,[73.8%],,,,
0,parallel,30,30,0.21406325108155744,0.6604053332835813,0.8001790400594473,0.0003333333333333333,73.3,[73.3%],,,,
0,parallel,31,31,0.20690312449927897,0.6388770447501654,0.8226305637508631,0.0003333333333333333,73.0,[73.0%],,,,
0,parallel,32,32,0.20004299791700048,0.7074583478366272,0.8927530907094479,0.0003333333333333333,69.7,[69.7%],,,,
0,parallel,33,33,0.193482871334722,0.7226922693131845,0.8866403419524431,0.0001111111111111111,70.7,[70.7%],,,,
0,parallel,34,34,0.1872227447524435,0.7461104453364505,1.0009021870791912,0.0001111111111111111,67.2,[67.2%],,,,
0,parallel,35,35,0.18126261817016504,0.8178139234645457,0.9526258446276188,0.0001111111111111111,69.1,[69.1%],,,,
