dataset,architecture,step,directory,seed,csv_file,csv_path,final_task_idx,final_til,final_cil_znorm
Resnet,dynamic,cap01,CIF100/Resnet/dynamic/cap01,12,dynamickappa01_seed12_0034_250726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\temp\kdecay\CIF100\Resnet\dynamic\cap01\dynamickappa01_seed12_0034_250726.csv,9,69.12,53.53
Resnet,dynamic,cap01,CIF100/Resnet/dynamic/cap01,17,dynamickappa01_seed17_0034_250726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\temp\kdecay\CIF100\Resnet\dynamic\cap01\dynamickappa01_seed17_0034_250726.csv,9,71.09,62.24
Resnet,dynamic,cap01,CIF100/Resnet/dynamic/cap01,21,dynamickappa01_seed21_0034_250726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\temp\kdecay\CIF100\Resnet\dynamic\cap01\dynamickappa01_seed21_0034_250726.csv,9,70.23,62.49
Resnet,dynamic,cap01,CIF100/Resnet/dynamic/cap01,23,dynamickappa01_seed23_0034_250726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\temp\kdecay\CIF100\Resnet\dynamic\cap01\dynamickappa01_seed23_0034_250726.csv,9,69.43,58.42
Resnet,dynamic,cap01,CIF100/Resnet/dynamic/cap01,32,dynamickappa01_seed32_0034_250726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\temp\kdecay\CIF100\Resnet\dynamic\cap01\dynamickappa01_seed32_0034_250726.csv,9,71.28,60.63
Resnet,dynamic,cap0125,CIF100/Resnet/dynamic/cap0125,17,dynamickappa0125_seed17_0317_280726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\temp\kdecay\CIF100\Resnet\dynamic\cap0125\dynamickappa0125_seed17_0317_280726.csv,9,65.22,50.03
Resnet,dynamic,cap0125,CIF100/Resnet/dynamic/cap0125,23,dynamickappa0125_seed23_0725_280726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\temp\kdecay\CIF100\Resnet\dynamic\cap0125\dynamickappa0125_seed23_0725_280726.csv,9,65.8,48.53
Resnet,dynamic,cap0125,CIF100/Resnet/dynamic/cap0125,32,dynamickappa0125_seed32_1901_270726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\temp\kdecay\CIF100\Resnet\dynamic\cap0125\dynamickappa0125_seed32_1901_270726.csv,9,68.04,49.16
Resnet,dynamic,cap0125,CIF100/Resnet/dynamic/cap0125,40,dynamickappa0125_seed40_2309_270726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\temp\kdecay\CIF100\Resnet\dynamic\cap0125\dynamickappa0125_seed40_2309_270726.csv,9,66.13,51.56
Resnet,static,cap01,CIF100/Resnet/static/cap01,32,statickappa01_seed32_1859_270726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\temp\kdecay\CIF100\Resnet\static\cap01\statickappa01_seed32_1859_270726.csv,9,58.35,48.43
Resnet,static,cap01,CIF100/Resnet/static/cap01,40,statickappa01_seed40_0315_280726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\temp\kdecay\CIF100\Resnet\static\cap01\statickappa01_seed40_0315_280726.csv,9,59.65,50.12
Resnet,static,cap0125,CIF100/Resnet/static/cap0125,32,statickappa0125_seed32_2307_270726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\temp\kdecay\CIF100\Resnet\static\cap0125\statickappa0125_seed32_2307_270726.csv,9,65.43,53.88
Resnet,static,cap0125,CIF100/Resnet/static/cap0125,40,statickappa0125_seed40_0723_280726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\temp\kdecay\CIF100\Resnet\static\cap0125\statickappa0125_seed40_0723_280726.csv,9,66.67,48.35
