task_idx,phase,epoch_in_phase,global_epoch,kappa,train_loss,val_loss,lr,til_avg,til_per_task,cil_stand_avg,cil_stand_per_task,cil_znorm_avg,cil_znorm_per_task
0,parallel,1,1,0.5,2.206384855508804,1.6111489981412888,0.001,31.4,[31.4%],,,,
0,parallel,2,2,0.5,1.5454447716474533,1.4926460832357407,0.001,37.6,[37.6%],,,,
0,parallel,3,3,0.5,1.4052326306700706,1.4840909913182259,0.001,37.0,[37.0%],,,,
0,parallel,4,4,0.5,1.1939668878912926,1.246663674712181,0.001,47.8,[47.8%],,,,
0,parallel,5,5,0.49560501500000004,1.1136888235807418,1.1405165269970894,0.001,55.0,[55.0%],,,,
0,parallel,6,6,0.478245375,1.0500612631440163,1.0572786331176758,0.001,56.0,[56.0%],,,,
0,parallel,7,7,0.461238215,0.9685823872685433,1.3911849055439234,0.001,46.4,[46.4%],,,,
0,parallel,8,8,0.4445835350000001,0.9618548557162285,1.107936516404152,0.001,53.6,[53.6%],,,,
0,parallel,9,9,0.42828133500000004,0.9455202862620353,1.0759485587477684,0.001,56.4,[56.4%],,,,
0,parallel,10,10,0.412331615,1.018836608529091,1.034627327695489,0.001,58.0,[58.0%],,,,
0,parallel,11,11,0.39673437500000003,0.8815645650029182,1.48041130322963,0.001,46.4,[46.4%],,,,
0,parallel,12,12,0.38148961499999995,0.9640415102243424,0.9401008002460003,0.001,60.0,[60.0%],,,,
0,parallel,13,13,0.36659733499999997,0.817690210044384,0.9432836621999741,0.001,60.6,[60.6%],,,,
0,parallel,14,14,0.352057535,0.8307074218988418,1.1691291835159063,0.001,56.2,[56.2%],,,,
0,parallel,15,15,0.33787021500000003,0.8080508418381214,1.134015941992402,0.001,55.4,[55.4%],,,,
0,parallel,16,16,0.324035375,0.7771575957536697,1.0644232276827097,0.001,58.4,[58.4%],,,,
0,parallel,17,17,0.310553015,0.8614248722791672,0.9446740336716175,0.0003333333333333333,62.2,[62.2%],,,,
0,parallel,18,18,0.29742313499999995,0.7163491308689117,0.9062292594462633,0.0003333333333333333,63.4,[63.4%],,,,
0,parallel,19,19,0.28464573500000007,0.735313606262207,0.9401884414255619,0.0003333333333333333,60.2,[60.2%],,,,
0,parallel,20,20,0.272220815,0.7295212522149086,0.8735702075064182,0.0003333333333333333,65.4,[65.4%],,,,
0,parallel,21,21,0.26014837500000004,0.7636787422001362,0.9382303990423679,0.0003333333333333333,64.4,[64.4%],,,,
0,parallel,22,22,0.248428415,0.7217430509626865,1.0295828133821487,0.0003333333333333333,58.8,[58.8%],,,,
0,parallel,23,23,0.23706093499999997,0.7309053674340248,0.9615461006760597,0.0003333333333333333,60.4,[60.4%],,,,
0,parallel,24,24,0.22604593499999998,0.8086944192647934,1.0095021650195122,0.0003333333333333333,60.2,[60.2%],,,,
0,parallel,25,25,0.21538341499999997,0.8035521179437637,0.8829999975860119,0.0001111111111111111,64.8,[64.8%],,,,
0,parallel,26,26,0.20507337499999995,0.7388283297419548,0.9566269014030695,0.0001111111111111111,62.2,[62.2%],,,,
0,parallel,27,27,0.19511581499999997,0.8075331956148147,0.9857830703258514,0.0001111111111111111,60.6,[60.6%],,,,
0,parallel,28,28,0.18551073499999993,0.8445296421647072,1.0976833514869213,0.0001111111111111111,57.0,[57.0%],,,,
0,parallel,29,29,0.17625813499999998,0.8366929695010186,1.075948029756546,0.0001111111111111111,57.2,[57.2%],,,,
0,parallel,30,30,0.16735801499999997,0.9871121197938919,1.0370482429862022,0.0001111111111111111,60.2,[60.2%],,,,
0,parallel,31,31,0.158810375,0.9402429655194282,1.0868270695209503,0.0001111111111111111,57.8,[57.8%],,,,
0,parallel,32,32,0.15061521499999997,1.0135315030813217,1.173778273165226,0.0001111111111111111,57.4,[57.4%],,,,
0,parallel,33,33,0.14277253500000003,1.0155721053481102,1.0979679077863693,0.0001111111111111111,58.8,[58.8%],,,,
0,parallel,34,34,0.135282335,1.2054767906665802,1.1675895974040031,0.0001111111111111111,57.4,[57.4%],,,,
0,parallel,35,35,0.12814461500000002,1.1630114912986755,1.1923748403787613,0.0001111111111111111,58.6,[58.6%],,,,
0,parallel,36,36,0.12135937499999999,1.2377822771668434,1.2317653149366379,0.0001111111111111111,56.6,[56.6%],,,,
