dataset,architecture,step,directory,seed,csv_file,csv_path,final_task_idx,final_til,final_cil_znorm
CIF100,Resnet,T10,CIF100/Resnet/T10,11,inNorm_seed11_kur1_0034_250726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\CIF100\Resnet\T10\inNorm_seed11_kur1_0034_250726.csv,9,70.23,62.49
CIF100,Resnet,T10,CIF100/Resnet/T10,12,inNorm_seed12_kur1_0034_250726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\CIF100\Resnet\T10\inNorm_seed12_kur1_0034_250726.csv,9,69.12,53.53
CIF100,Resnet,T10,CIF100/Resnet/T10,17,inNorm_seed17_kur1_0034_250726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\CIF100\Resnet\T10\inNorm_seed17_kur1_0034_250726.csv,9,71.09,62.24
CIF100,Resnet,T10,CIF100/Resnet/T10,23,inNorm_seed23_kur1_0034_250726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\CIF100\Resnet\T10\inNorm_seed23_kur1_0034_250726.csv,9,69.43,58.42
CIF100,Resnet,T10,CIF100/Resnet/T10,32,inNorm_seed32_kur1_0034_250726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\CIF100\Resnet\T10\inNorm_seed32_kur1_0034_250726.csv,9,71.28,60.63
CIF100,Resnet,T20,CIF100/Resnet/T20,11,inNorm_seed11_kur1_1900_260726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\CIF100\Resnet\T20\inNorm_seed11_kur1_1900_260726.csv,19,69.03,35.93
CIF100,Resnet,T20,CIF100/Resnet/T20,12,inNorm_seed12_kur1_1900_260726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\CIF100\Resnet\T20\inNorm_seed12_kur1_1900_260726.csv,19,65.36,32.32
CIF100,Resnet,T20,CIF100/Resnet/T20,17,inNorm_seed17_kur1_1900_260726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\CIF100\Resnet\T20\inNorm_seed17_kur1_1900_260726.csv,19,68.81,38.36
CIF100,Resnet,T20,CIF100/Resnet/T20,23,inNorm_seed23_kur1_1900_260726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\CIF100\Resnet\T20\inNorm_seed23_kur1_1900_260726.csv,19,67.86,36.98
CIF100,Resnet,T20,CIF100/Resnet/T20,32,inNorm_seed32_kur1_1900_260726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\CIF100\Resnet\T20\inNorm_seed32_kur1_1900_260726.csv,19,68.86,40.75
imagenet,Resnet,T10,imagenet/Resnet/T10,11,inNorm_seed11_kur1_0038_250726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\imagenet\Resnet\T10\inNorm_seed11_kur1_0038_250726.csv,9,48.57,38.03
imagenet,Resnet,T10,imagenet/Resnet/T10,12,inNorm_seed12_kur1_0038_250726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\imagenet\Resnet\T10\inNorm_seed12_kur1_0038_250726.csv,9,49.99,38.76
imagenet,Resnet,T10,imagenet/Resnet/T10,17,inNorm_seed17_kur1_0038_250726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\imagenet\Resnet\T10\inNorm_seed17_kur1_0038_250726.csv,9,50.54,38.79
imagenet,Resnet,T10,imagenet/Resnet/T10,23,inNorm_seed23_kur1_0038_250726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\imagenet\Resnet\T10\inNorm_seed23_kur1_0038_250726.csv,9,49.83,37.59
imagenet,Resnet,T10,imagenet/Resnet/T10,32,inNorm_seed32_kur1_0038_250726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\imagenet\Resnet\T10\inNorm_seed32_kur1_0038_250726.csv,9,50.7,37.65
imagenet,Resnet,T20,imagenet/Resnet/T20,11,inNorm_seed11_kur1_1901_260726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\imagenet\Resnet\T20\inNorm_seed11_kur1_1901_260726.csv,19,47.29,26.8
imagenet,Resnet,T20,imagenet/Resnet/T20,12,inNorm_seed12_kur1_1901_260726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\imagenet\Resnet\T20\inNorm_seed12_kur1_1901_260726.csv,19,46.87,23.99
imagenet,Resnet,T20,imagenet/Resnet/T20,17,inNorm_seed17_kur1_1901_260726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\imagenet\Resnet\T20\inNorm_seed17_kur1_1901_260726.csv,19,46.71,27.45
imagenet,Resnet,T20,imagenet/Resnet/T20,32,inNorm_seed32_kur1_1901_260726.csv,C:\Users\Andreas\Documents\Erevna\anonHebbGate-code-main\HebbGate_anon\Anonymous_rebuttal\main_logs\imagenet\Resnet\T20\inNorm_seed32_kur1_1901_260726.csv,19,48.29,29.6
